Composition,HV
CoFeNi,125
CoFeNi,125
CoFeNiSi0.25,149
CoFeNiSi0.5,287
CoFeNiSi0.75,570
Al0.25CoFeNi,138
Al0.5CoFeNi,212
Al0.75CoFeNi,385
CoCrFeNi,116
CoCrFeNi,113
CoCrFeMo0.5Ni,210
Co1.5CrFeNi1.5Ti0.5,509
Co1.5CrFeNi1.5Ti,654
Al0.25CoCrFeNi,110
Al0.25CoCrFeNi,113
Al0.375CoCrFeNi,131
Al0.375CoCrFeNi,196
Al0.5CoCrFeNi,159
Al0.5CoCrFeNi,209
Al0.7Co0.3CrFeNi,624
Al0.75CoCrFeNi,388
Al0.75CoCrFeNi,280
Al0.875CoCrFeNi,538
Al0.875CoCrFeNi,361
AlCoCrFeNi,484
AlCoCrFeNi,433
AlCoCrFeNi,395
AlCoCrFeNi,520
Al1.25CoCrFeNi,487
Al1.25CoCrFeNi,499
Al1.5CoCrFeNi,484
Al1.5CoCrFeNi,517
Al1.5CoCrFeNi,402
Al2CoCrFeNi,509
Al2CoCrFeNi,512
Al2CoCrFeNi,432
Al2.5CoCrFeNi,487
Al3CoCrFeNi,506
Al0.5CoCrFeMo0.5Ni,425
AlCo0.5CrFeMo0.5Ni,801
AlCoCrFe0.5Mo0.5Ni,755
AlCoCrFe0.6Mo0.5Ni,754
AlCoCrFeMo0.5Ni0.5,708
AlCoCrFeMo0.5Ni,796
AlCoCrFeMo0.5Ni,715
AlCoCrFeMo0.5Ni,730
AlCoCrFeMo0.5Ni1.5,586
AlCoCrFeMo0.5Ni2,395
AlCo1.5CrFeMo0.5Ni,741
AlCo2CrFeMo0.5Ni,586
AlCoCrFe1.5Mo0.5Ni,635
AlCoCrFe2Mo0.5Ni,639
Al1.5CoCrFeMo0.5Ni,655
Al2CoCrFeMo0.5Ni,605
AlCoCrFeNb0.1Ni,569
AlCoCrFeNb0.25Ni,668
AlCoCrFeNb0.5Ni,747
Al0.2Co1.5CrFeNi1.5Ti0.5,487
Al0.2Co1.5CrFeNi1.5Ti,717
AlCoCrFeNiTi0.5,178
AlCoCrFeNiTi0.5,178
Al2CoCrFeNiTi,643
AlCoCrFeNiTiVZr,780
CoCrFeMnNi,176
CoCrFeMnNi,144
CoCrFeMnNiV0.25,151
CoCrFeMnNiV0.5,186
CoCrFeMnNiV0.75,342
CoCrFeMnNiV1.0,650
Al0.10CoCrFeMnNi,180
Al0.20CoCrFeMnNi,171
Al0.38CoCrFeMnNi,182
Al0.43CoCrFeMnNi,183
Al0.49CoCrFeMnNi,220
Al0.56CoCrFeMnNi,278
Al0.62CoCrFeMnNi,405
Al0.68CoCrFeMnNi,486
Al0.75CoCrFeMnNi,530
Al0.81CoCrFeMnNi,539
Al0.88CoCrFeMnNi,533
Al0.95CoCrFeMnNi,535
Al1.25CoCrFeMnNi,539
Al0.5CrFe1.5MnNi0.5,396
Al0.3CrFe1.5MnNi0.5,297
AlCoCrFeMo0.5,857
AlCrFeNi,472
AlCrFeNiMo0.2,549
AlCrFeNiMo0.5,622
AlCrFeNiMo0.8,854
AlCrFeNiMo,905
CoCrCuFe,134
